Number, Time (Divide & Conquer), Time (Naive), Min, Max
2660, 0.000000, 0.000000, 21, 32765
2670, 0.000000, 0.000000, 21, 32765
2680, 0.000000, 0.000000, 21, 32765
2690, 0.000000, 0.000000, 21, 32765
2700, 0.000000, 0.000000, 21, 32765
2710, 0.000000, 0.000000, 21, 32765
2720, 0.000000, 0.000000, 21, 32765
2730, 0.000000, 0.000000, 21, 32765
2740, 0.000000, 0.000000, 21, 32765
2750, 0.000000, 0.000000, 21, 32765
2760, 0.000000, 0.000000, 21, 32765
2770, 0.000000, 0.000000, 21, 32765
2780, 0.000000, 0.000000, 21, 32765
2790, 0.000000, 0.000000, 21, 32765
2800, 0.000000, 0.000000, 21, 32765
